	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
280	1970-01-01 00:00:00.000000280	0.07576933949498858	0.2136750397391742	0.01052351930343253	2.900781276920398e-07	2.1031572001859542e-10
281	1970-01-01 00:00:00.000000281	0.07605451264088313	0.21431628124517524	0.010563126687123668	2.887255831249035e-07	2.0987638300140671e-10
282	1970-01-01 00:00:00.000000282	0.07633974511780105	0.2149614951339698	0.010602742314444103	2.89647854618109e-07	2.0948854332585597e-10
283	1970-01-01 00:00:00.000000283	0.07662693292614076	0.21552541744006187	0.010642629541763341	2.5184902908201856e-07	2.081904561097706e-10
284	1970-01-01 00:00:00.000000284	0.07691275263849802	0.21618280630710512	0.010682326711515477	2.5336532262061376e-07	2.0808291060114853e-10
285	1970-01-01 00:00:00.000000285	0.07719911169212373	0.21680406950937284	0.01072209882241765	2.4507358431935894e-07	2.07592305895971e-10
286	1970-01-01 00:00:00.000000286	0.0774845644638116	0.21745078520527916	0.010761745080995807	2.4861276966020626e-07	2.0722721587285108e-10
287	1970-01-01 00:00:00.000000287	0.07777062039057704	0.21808639084177409	0.010801475077501534	2.4517722493901524e-07	2.0693422641805114e-10
288	1970-01-01 00:00:00.000000288	0.07805675141127029	0.21871920814899712	0.010841215458643744	2.434723565655893e-07	2.0663606808805901e-10
289	1970-01-01 00:00:00.000000289	0.07834273645455582	0.21936417648914736	0.01088093560003041	2.4637691984329267e-07	2.0650590608829638e-10
290	1970-01-01 00:00:00.000000290	0.07862862452845835	0.22000917922352053	0.01092064228646815	2.5433141053806636e-07	2.062162404612043e-10
291	1970-01-01 00:00:00.000000291	0.07891452106058913	0.22064161339887536	0.010960350153427922	2.6171402654265814e-07	2.0618512070519105e-10
292	1970-01-01 00:00:00.000000292	0.07920117769279346	0.22126944125557205	0.011000163572065378	2.603820468807578e-07	2.0579903938717545e-10
293	1970-01-01 00:00:00.000000293	0.0794879238278239	0.2218948786206641	0.011039989407797213	2.635227719630151e-07	2.0546541379779647e-10
294	1970-01-01 00:00:00.000000294	0.07977468758803077	0.22252240442003254	0.011079817730803373	2.631772044948217e-07	2.0507964641399495e-10
295	1970-01-01 00:00:00.000000295	0.08006078583509671	0.22316899485837322	0.011119553565356202	2.6775127447956344e-07	2.0480386081338607e-10
296	1970-01-01 00:00:00.000000296	0.08034751262234122	0.22380680277777776	0.011159376758515544	2.6754258305890227e-07	2.044918649072651e-10
297	1970-01-01 00:00:00.000000297	0.08063489482472086	0.2244336732722484	0.01119929095262826	2.6733097864858853e-07	2.0424736348036956e-10
298	1970-01-01 00:00:00.000000298	0.08092233755773502	0.2250593916284234	0.011239213547002221	2.681609434607698e-07	2.0405225800294477e-10
299	1970-01-01 00:00:00.000000299	0.08120989230882841	0.2256831061440756	0.011279151697743973	2.6782936938559245e-07	2.0380974918458163e-10
300	1970-01-01 00:00:00.000000300	0.08149757806085611	0.2263071830288072	0.011319108070802327	2.661702545892581e-07	2.036094648672895e-10
301	1970-01-01 00:00:00.000000301	0.08178540097357492	0.22693050656400457	0.011359083473483038	2.6812417639053254e-07	2.0338257964482595e-10
302	1970-01-01 00:00:00.000000302	0.08207336452002054	0.22755020469712525	0.011399078414491053	2.665277479345116e-07	2.0315814793475622e-10
