	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
711	1970-01-01 00:00:00.711	0.12085541459905111	1.135614461460683	93.92849467605197	0.016785474241269346	1.0162653128560318e-05	3.5788607309913343e-07
712	1970-01-01 00:00:00.712	0.12131252717594032	1.1348523015231582	94.2427573624495	0.01684896210755362	9.95592446421503e-06	3.5394379690279155e-07
713	1970-01-01 00:00:00.713	0.12176764482167886	1.1340908748637284	94.55587668821056	0.016912172881949853	9.69790037178399e-06	3.5541483354986175e-07
714	1970-01-01 00:00:00.714	0.12222167053445851	1.133347173152055	94.86878921472105	0.016975232011251756	1.0239425017231598e-05	3.5330394459504444e-07
715	1970-01-01 00:00:00.715	0.12267426444132115	1.1326185407199187	95.18034745295542	0.017038092290153822	9.983246397944327e-06	3.5486612553427013e-07
716	1970-01-01 00:00:00.716	0.12312515015642109	1.13189930689817	95.49108462146097	0.017100715313624275	1.0331758039716096e-05	3.541701368198194e-07
717	1970-01-01 00:00:00.717	0.1235749173477376	1.1311895803193988	95.80106529982778	0.017163182967746986	9.919899862280633e-06	3.5417132112620794e-07
718	1970-01-01 00:00:00.718	0.12402305767481969	1.1304922965663218	96.11002225305738	0.017225424686422075	1.001498284577148e-05	3.537655864841783e-07
719	1970-01-01 00:00:00.719	0.12446986948169057	1.129804649258998	96.41831256802321	0.017287481842703678	9.9231598454842e-06	3.554103687836318e-07
720	1970-01-01 00:00:00.720	0.12491522207210747	1.1291287532008483	96.72586059696803	0.0173493364339015	1.0216671874046816e-05	3.5722758437814727e-07
721	1970-01-01 00:00:00.721	0.12535938724742512	1.1284626858243574	97.03253599496816	0.017411026013837566	1.0053522370871138e-05	3.637418325911917e-07
722	1970-01-01 00:00:00.722	0.12580213548920752	1.1278115271781943	97.33828486371515	0.017472518873483535	9.898427289660469e-06	3.566317476893335e-07
723	1970-01-01 00:00:00.723	0.12624341556659568	1.1271715630470782	97.6433714919959	0.01753380770207397	9.85033021740265e-06	3.667289728302317e-07
724	1970-01-01 00:00:00.724	0.12668349599557696	1.1265392501382196	97.94768370112945	0.017594930003949134	1.0040892422856015e-05	3.5664250719479035e-07
725	1970-01-01 00:00:00.725	0.12712219633780583	1.125927266219416	98.25115026992897	0.017655860613259668	9.835059390468824e-06	3.628993870892041e-07
726	1970-01-01 00:00:00.726	0.127559363568832	1.1253198247984826	98.55383441441441	0.017716578336494388	1.021060392123218e-05	3.6072821927194435e-07
727	1970-01-01 00:00:00.727	0.12799575915247524	1.1247146115643565	98.85621410613861	0.01777718876990099	9.966165762809506e-06	3.6344850912386277e-07
728	1970-01-01 00:00:00.728	0.12843076023734176	1.1241346639240506	99.15775796677215	0.017837605608386074	1.0017392845030854e-05	3.675582958710669e-07
729	1970-01-01 00:00:00.729	0.1288645111904762	1.1235516862698414	99.4586305936508	0.01789784874285714	1.0072412812045236e-05	3.621834785859259e-07
730	1970-01-01 00:00:00.730	0.1292971524160914	1.1229831148932794	99.75890280488773	0.017957937805284454	9.943492716849162e-06	3.640874298081466e-07
731	1970-01-01 00:00:00.731	0.12972848836580517	1.1224218155864811	100.05844079125248	0.018017845612723658	1.001586351523173e-05	3.614630779096601e-07
732	1970-01-01 00:00:00.732	0.13015886527932516	1.1218794975330255	100.35766514403947	0.01807762017109661	1.0329890779054593e-05	3.610334935378299e-07
733	1970-01-01 00:00:00.733	0.130587853083174	1.1213322606755896	100.6558526848311	0.018137201795729765	9.655145476803697e-06	3.7046794540299744e-07
734	1970-01-01 00:00:00.734	0.13101586641422194	1.1208004995216836	100.95383746811225	0.01819664812260842	1.0118933471799265e-05	3.658774690939531e-07
735	1970-01-01 00:00:00.735	0.13144245212392208	1.120285690993293	101.25089817949537	0.01825589609469818	1.0239427788753594e-05	3.6503876925807016e-07
736	1970-01-01 00:00:00.736	0.1318679907516757	1.1197753270028725	101.54716674114268	0.018314998653048198	9.962386592012448e-06	3.647145860208512e-07
737	1970-01-01 00:00:00.737	0.13229268846707162	1.1192675644980818	101.84360659367007	0.018373984487691817	1.0205620776734335e-05	3.647029722864352e-07
738	1970-01-01 00:00:00.738	0.13271618186395973	1.1187760469986412	102.13912492206859	0.018432803060506753	1.0009106696902644e-05	3.6796881628127293e-07
739	1970-01-01 00:00:00.739	0.13313847599839615	1.1182926681635925	102.4338187489976	0.018491455076182838	1.0217409259089816e-05	3.649593743388892e-07
740	1970-01-01 00:00:00.740	0.13355939420440882	1.1178254701402806	102.72802351903806	0.01854991584769539	9.864268846503407e-06	3.659416854229061e-07
741	1970-01-01 00:00:00.741	0.13397979706236454	1.1173443912031462	103.0218912272253	0.018608305198651576	9.751715039016856e-06	3.6805465119194915e-07
742	1970-01-01 00:00:00.742	0.13439912554557126	1.1168873256578946	103.31562081996148	0.01866654518453145	1.003685725356948e-05	3.7688550220140106e-07
743	1970-01-01 00:00:00.743	0.13481776369851994	1.1164348949485199	103.60942449324324	0.0187246893484556	1.0468818998746783e-05	3.6894143671916924e-07
744	1970-01-01 00:00:00.744	0.13523527354714251	1.1159818843340568	103.90216312193553	0.018782676948798326	9.835759990377622e-06	3.777583320136574e-07
745	1970-01-01 00:00:00.745	0.13565171964285716	1.1155410542149293	104.19460206724581	0.018840516652187903	1.0402697690196269e-05	3.7687669021471246e-07
746	1970-01-01 00:00:00.746	0.13606712734802187	1.1151257212126087	104.4859909938887	0.018898212162270826	9.910755849396911e-06	3.742123928626637e-07
747	1970-01-01 00:00:00.747	0.13648114225340754	1.1147105707718366	104.77686223889025	0.018955714259214454	1.0261069995864101e-05	3.70032127384425e-07
748	1970-01-01 00:00:00.748	0.13689442795386725	1.114297232841358	105.06766773126866	0.019013115048794257	1.0006095560373417e-05	3.726089306138131e-07
749	1970-01-01 00:00:00.749	0.137306868245373	1.11389912163582	105.35792525660713	0.0190703983310434	1.0297923023858079e-05	3.71846752826424e-07
750	1970-01-01 00:00:00.750	0.13771850679132266	1.1135080216933786	105.64788280718795	0.019127570408774486	1.0183912250051806e-05	3.706539294953952e-07
751	1970-01-01 00:00:00.751	0.13812887677315003	1.1131121795390215	105.93729114435908	0.019184566156085724	1.0161456926375576e-05	3.7291738302358385e-07
752	1970-01-01 00:00:00.752	0.13853870541788144	1.1127314825072887	106.22654772432783	0.019241486893424035	1.0160374726933107e-05	3.722420462298275e-07
753	1970-01-01 00:00:00.753	0.13894750172721376	1.1123593678235484	106.51533072494324	0.01929826412341875	1.0089684687265651e-05	3.7253160938072884e-07
754	1970-01-01 00:00:00.754	0.13935566448992853	1.1119940603476282	106.80394830246914	0.019354953462475635	1.0279391156080248e-05	3.7278248447731984e-07
755	1970-01-01 00:00:00.755	0.1397629432224026	1.1116321039772727	107.09210155032467	0.019411519923701298	9.945667585691558e-06	3.7795185874709183e-07
756	1970-01-01 00:00:00.756	0.1401690705825006	1.1112804408969048	107.37986545617028	0.01946792655211634	1.0389620700270534e-05	3.73314138062596e-07
757	1970-01-01 00:00:00.757	0.1405746901097115	1.110932779926859	107.66729271028036	0.01952426251848842	9.74480693266794e-06	3.8141103511183447e-07
758	1970-01-01 00:00:00.758	0.14097893433005607	1.1105993792150808	107.9540133582514	0.01958040753879906	1.0130655635644755e-05	3.8163829662815337e-07
759	1970-01-01 00:00:00.759	0.1413826307667237	1.1102705519432903	108.24067876639778	0.019636476469485863	1.0228770981620468e-05	3.739478769238677e-07
760	1970-01-01 00:00:00.760	0.14178556507703594	1.1099404360479335	108.52697705225401	0.019692439549197034	1.0238911982041738e-05	3.7399279128640364e-07
761	1970-01-01 00:00:00.761	0.1421879523755195	1.1096274342759351	108.81316681607042	0.019748326659603944	1.0151499481479912e-05	3.753466002121665e-07
762	1970-01-01 00:00:00.762	0.1425892170066917	1.1093109976334259	109.0989722457973	0.019804057890484738	1.0154001547988657e-05	3.8015912083192195e-07
763	1970-01-01 00:00:00.763	0.1429898301543235	1.10900860308647	109.38425311504858	0.019859698600473586	9.929352352670181e-06	3.7785225129013327e-07
764	1970-01-01 00:00:00.764	0.14338942876398988	1.1087078089208398	109.66916160444408	0.019915198463360838	9.884844361601177e-06	3.7778483516503865e-07
765	1970-01-01 00:00:00.765	0.14378868849044274	1.108415324375102	109.95431131351087	0.019970651199967326	1.0279531091063552e-05	3.7677726132018246e-07
